prov_persona_en_situacion_violencia,edad_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,vinculo_con_la_persona_agresora
0,39.0,1,1,0,0,1,1,0
0,36.0,1,1,0,1,1,1,0
0,62.0,1,1,0,0,1,1,0
0,59.0,1,1,1,1,1,1,0
0,23.0,1,1,0,0,0,1,5
0,37.0,1,1,0,1,0,1,0
0,38.0,0,0,0,1,1,1,0
0,23.0,0,0,0,0,0,1,4
0,29.0,1,1,0,0,1,1,0
0,28.0,0,0,0,0,0,1,0
0,24.0,1,1,0,1,1,1,5
0,31.0,1,1,0,1,1,1,0
0,36.0,1,1,0,1,1,1,5
0,31.0,1,1,0,0,1,1,0
0,47.0,1,1,0,0,1,1,0
0,29.0,0,0,0,0,1,1,5
0,54.0,0,0,0,0,1,1,0
0,17.0,1,1,0,0,1,1,5
0,39.0,1,1,0,1,1,1,5
0,20.0,1,1,1,1,1,1,5
0,43.0,1,1,0,1,0,1,5
13,28.0,1,1,0,0,0,1,0
0,34.0,0,0,0,1,0,1,5
16,28.0,0,0,0,0,0,1,5
12,42.0,1,1,1,0,1,1,0
8,30.0,0,0,0,1,0,1,5
0,47.0,1,1,1,0,0,1,5
17,28.0,1,1,0,0,0,1,0
20,54.0,1,1,0,1,1,1,0
0,40.0,1,1,1,1,0,1,0
0,19.0,1,1,1,1,1,1,0
20,39.0,1,1,1,1,1,1,0
0,33.0,1,1,0,0,1,1,5
20,36.0,1,1,0,1,0,1,5
0,45.0,1,1,0,0,0,1,5
23,28.0,1,1,0,0,0,1,0
0,30.0,1,1,0,0,0,1,0
4,27.0,1,1,0,0,0,1,0
4,27.0,1,1,0,1,1,1,0
4,29.0,1,1,0,1,0,1,5
4,35.0,1,1,0,1,0,1,0
4,42.0,0,0,0,0,0,0,2
4,43.0,1,1,0,0,0,1,0
4,44.0,0,0,0,0,0,1,0
